Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,106.750000,119.459999,95.199997,100.730003,100.730003,103679500
2021-11-11,114.625000,125.000000,108.010002,122.989998,122.989998,83668200
2021-11-12,128.645004,135.199997,125.250000,129.949997,129.949997,50636800
2021-11-15,130.800003,152.529999,127.510002,149.360001,149.360001,64982300
2021-11-16,163.800003,179.470001,153.779999,172.009995,172.009995,94036600
2021-11-17,160.880005,163.000000,140.350006,146.070007,146.070007,71765600
2021-11-18,136.809998,138.779999,120.150002,123.379997,123.379997,63603600
2021-11-19,129.979996,139.899994,125.599998,128.600006,128.600006,49479400
2021-11-22,123.879997,124.930000,106.910004,118.110001,118.110001,40993900
2021-11-23,117.830002,124.000000,113.000000,119.849998,119.849998,24967900
2021-11-24,119.379997,120.000000,113.449997,114.849998,114.849998,11539200
2021-11-26,111.000000,114.500000,106.139999,112.129997,112.129997,9871200
2021-11-29,115.849998,122.250000,113.599998,119.769997,119.769997,13923900
2021-11-30,119.900002,121.489998,114.099998,119.760002,119.760002,20204900
2021-12-01,120.540001,126.750000,113.099998,115.690002,115.690002,13289700
2021-12-02,114.169998,118.449997,107.750000,110.769997,110.769997,10835500
2021-12-03,110.489998,111.870003,100.000000,104.669998,104.669998,13819200
2021-12-06,106.360001,117.480003,100.320000,116.779999,116.779999,19725400
2021-12-07,119.519997,120.209999,112.400002,116.180000,116.180000,12173300
2021-12-08,116.220001,123.400002,112.820000,122.120003,122.120003,12816000
2021-12-09,119.949997,121.320000,114.400002,115.400002,115.400002,8474800
2021-12-10,115.709999,118.010002,110.801003,114.660004,114.660004,8387500
2021-12-13,118.139999,121.639999,113.949997,118.900002,118.900002,14737500
2021-12-14,114.769997,117.900002,112.709999,117.139999,117.139999,8057700
2021-12-15,115.470001,116.738998,109.209999,115.000000,115.000000,10828600
2021-12-16,116.760002,117.000000,107.059998,108.870003,108.870003,13627600
2021-12-17,99.919998,100.599998,92.620003,97.699997,97.699997,44475000
2021-12-20,94.800003,96.400002,88.400002,89.980003,89.980003,16072700
2021-12-21,92.190002,98.419998,92.050003,96.820000,96.820000,12915100
2021-12-22,96.388000,98.900002,93.391998,96.339996,96.339996,8644100
2021-12-23,96.350998,97.821999,93.814003,96.839996,96.839996,5670100
2021-12-27,96.900002,107.489998,96.800003,107.089996,107.089996,15497000
2021-12-28,105.040001,106.000000,101.000000,102.870003,102.870003,8821300
2021-12-29,101.190002,102.580002,96.620003,99.339996,99.339996,8754900
2021-12-30,98.851997,105.290001,98.660004,103.419998,103.419998,10874700
2021-12-31,102.440002,106.120003,102.279999,103.690002,103.690002,5814900
2022-01-03,106.139999,106.550003,100.250000,102.720001,102.720001,8346800
2022-01-04,102.989998,106.800003,99.014000,101.389999,101.389999,12152200
2022-01-05,98.320000,99.214996,89.279999,90.010002,90.010002,18645100
2022-01-06,91.879997,92.029999,75.129997,87.330002,87.330002,39827100
2022-01-07,87.019997,89.269997,81.621002,86.279999,86.279999,17515900
2022-01-10,83.519997,83.750000,77.650002,81.440002,81.440002,17289800
2022-01-11,78.940002,86.580002,78.120003,83.550003,83.550003,19970600
2022-01-12,84.900002,88.070000,82.629997,86.480003,86.480003,14422800
2022-01-13,86.940002,86.940002,79.889999,80.309998,80.309998,13677500
2022-01-14,79.570000,81.690002,77.010002,79.949997,79.949997,15838000
2022-01-18,77.525002,77.839996,72.855003,73.160004,73.160004,16803700
2022-01-19,74.820000,76.320000,68.949997,69.400002,69.400002,15068400
2022-01-20,70.858002,72.080002,64.809998,65.019997,65.019997,18642700
2022-01-21,63.865002,67.160004,60.509998,64.510002,64.510002,19344700
2022-01-24,60.110001,64.300003,55.099998,63.900002,63.900002,24115900
2022-01-25,61.105000,61.930000,58.000000,59.610001,59.610001,16557200
2022-01-26,62.349998,68.070000,59.009998,60.270000,60.270000,23694100
2022-01-27,61.330002,61.700001,53.331001,53.939999,53.939999,23416400
2022-01-28,53.599998,57.299999,50.000000,57.119999,57.119999,23965100
2022-01-31,58.650002,65.930000,57.919998,65.739998,65.739998,18684900
2022-02-01,67.279999,71.459999,62.349998,69.620003,69.620003,24476500
2022-02-02,69.389999,69.900002,63.549999,64.320000,64.320000,15610300
2022-02-03,60.827000,63.918999,59.000000,60.360001,60.360001,19776300
2022-02-04,62.064999,62.779999,59.110001,60.869999,60.869999,14588500
2022-02-07,60.875000,63.830002,57.520000,58.360001,58.360001,14782000
2022-02-08,58.080002,61.540001,56.439999,60.950001,60.950001,12079200
2022-02-09,61.860001,65.120003,60.750000,64.529999,64.529999,13343700
2022-02-10,61.455002,68.980003,60.660000,64.720001,64.720001,17665400
2022-02-11,64.500000,66.400002,57.700001,58.849998,58.849998,15293400
2022-02-14,60.360001,66.400002,59.900002,62.650002,62.650002,26874500
2022-02-15,65.800003,67.180000,63.880001,66.290001,66.290001,16267400
2022-02-16,65.370003,66.430000,63.340000,66.250000,66.250000,12768300
2022-02-17,64.684998,71.500000,64.129997,64.739998,64.739998,22387700
2022-02-18,65.773003,66.900002,63.009998,66.370003,66.370003,14965900
2022-02-22,65.250000,69.099998,59.759998,62.389999,62.389999,22737000
2022-02-23,63.426998,63.500000,57.049999,57.529999,57.529999,22637000
2022-02-24,54.240002,64.430000,53.500000,63.709999,63.709999,24082200
2022-02-25,63.349998,63.990002,60.810001,63.430000,63.430000,13455200
2022-02-28,63.490002,68.150002,62.400002,67.559998,67.559998,19270200
2022-03-01,65.430000,66.540001,60.799999,61.910000,61.910000,17204100
2022-03-02,59.134998,59.139999,53.299999,53.560001,53.560001,36559800
2022-03-03,54.360001,56.000000,50.020000,50.910000,50.910000,28535500
2022-03-04,51.009998,51.410000,46.660000,47.389999,47.389999,24392200
2022-03-07,48.000000,49.439999,42.279999,42.430000,42.430000,22985200
2022-03-08,41.889999,45.060001,39.860001,42.209999,42.209999,25165000
2022-03-09,43.389999,46.250000,42.689999,43.950001,43.950001,15784700
2022-03-10,44.105000,44.189999,39.770000,41.160000,41.160000,31481100
2022-03-11,38.320000,41.000000,37.500000,38.049999,38.049999,42597900
2022-03-14,37.740002,37.740002,34.900002,35.830002,35.830002,20756400
